name,latitude,longitude,elevation
W05801,S39.2937279,E174.6312778,0
W05802,S39.2958736,E174.6444634,0
W05803,S39.2940337,E174.6528263,0
W05804,S39.2859336,E174.6616560,0
W05805,S39.2802528,E174.6705286,0
W05806,S39.2769914,E174.6827164,0
W05807,S39.2796306,E174.6974522,0
W05808,S39.2740893,E174.7080038,0
W05809,S39.2671104,E174.7144518,0
W05810,S39.2599384,E174.7304858,0
W05811,S39.2643479,E174.7435318,0
W05812,S39.2767554,E174.7455326,0
W05813,S39.2801028,E174.7526994,0
W05814,S39.2808645,E174.7588683,0
W05815,S39.2721905,E174.7662068,0
W05816,S39.2658767,E174.7773378,0
W05817,S39.2615746,E174.7889354,0
W05818,S39.2542792,E174.7997928,0
W05819,S39.2463883,E174.8026735,0
W05820,S39.2419896,E174.8061711,0
