name,latitude,longitude,elevation
W00301,S35.1829443,E173.1247681,0
W00302,S35.1890597,E173.1258302,0
W00303,S35.1946600,E173.1202835,0
W00304,S35.1961566,E173.1111588,0
W00305,S35.2014297,E173.1048342,0
W00306,S35.2032750,E173.0976353,0
W00307,S35.2121208,E173.0969272,0
W00308,S35.2204569,E173.0961171,0
W00309,S35.2181985,E173.0865901,0
W00310,S35.2100072,E173.0776692,0
W00311,S35.2026259,E173.0694886,0
W00312,S35.1964838,E173.0583040,0
W00313,S35.1866081,E173.0554448,0
W00314,S35.1774834,E173.0602728,0
W00315,S35.1687932,E173.0656532,0
W00316,S35.1687503,E173.0780072,0
W00317,S35.1715022,E173.0887305,0
W00318,S35.1750695,E173.1008646,0
W00319,S35.1743132,E173.1130363,0
W00320,S35.1816086,E173.1205785,0
