name,latitude,longitude,elevation
W01801,S37.2903132,E175.7206753,0
W01802,S37.2892350,E175.7246824,0
W01803,S37.2878832,E175.7277562,0
W01804,S37.2881460,E175.7313825,0
W01805,S37.2874701,E175.7352716,0
W01806,S37.2857965,E175.7362909,0
W01807,S37.2867352,E175.7375407,0
W01808,S37.2857643,E175.7408184,0
W01809,S37.2848953,E175.7446592,0
W01810,S37.2844071,E175.7480870,0
W01811,S37.2825135,E175.7514129,0
W01812,S37.2798743,E175.7532046,0
W01813,S37.2778681,E175.7556561,0
W01814,S37.2759369,E175.7581666,0
W01815,S37.2743276,E175.7610312,0
W01816,S37.2727344,E175.7640674,0
W01817,S37.2716133,E175.7642712,0
W01818,S37.2692691,E175.7670070,0
W01819,S37.2671985,E175.7688148,0
W01820,S37.2654444,E175.7709391,0
