name,latitude,longitude,elevation
W02101,S37.6176961,E175.7962203,0
W02102,S37.6179160,E175.8011126,0
W02103,S37.6178248,E175.8043634,0
W02104,S37.6191766,E175.8096955,0
W02105,S37.6218963,E175.8096472,0
W02106,S37.6231516,E175.8116857,0
W02107,S37.6269119,E175.8113745,0
W02108,S37.6368305,E175.8187237,0
W02109,S37.6375279,E175.8190616,0
W02110,S37.6385417,E175.8194210,0
W02111,S37.6388636,E175.8204671,0
W02112,S37.6473231,E175.8434639,0
W02113,S37.6500696,E175.8442095,0
W02114,S37.6477308,E175.8440433,0
