name,latitude,longitude,elevation
W02201,S37.6028693,E175.9171109,0
W02202,S37.6069033,E175.9125244,0
W02203,S37.6110928,E175.9058136,0
W02204,S37.6133404,E175.8991511,0
W02205,S37.6159528,E175.8953424,0
W02206,S37.6196488,E175.8881435,0
W02207,S37.6236345,E175.8839807,0
W02208,S37.6276040,E175.8777420,0
W02209,S37.6281726,E175.8742766,0
W02210,S37.6311727,E175.8673435,0
W02211,S37.6342601,E175.8664825,0
W02212,S37.6384709,E175.8632976,0
W02213,S37.6406178,E175.8600397,0
W02214,S37.6408484,E175.8573951,0
W02215,S37.6454724,E175.8538171,0
W02216,S37.6481439,E175.8537366,0
W02217,S37.6502359,E175.8503624,0
W02218,S37.6506758,E175.8481899,0
W02219,S37.6477523,E175.8440540,0
W02220,S37.6477040,E175.8440111,0
