name,latitude,longitude,elevation
W04001,S39.2985949,E175.7408241,0
W04002,S39.2979619,E175.7353096,0
W04003,S39.2952476,E175.7297736,0
W04004,S39.2938850,E175.7269788,0
W04005,S39.2921577,E175.7178648,0
W04006,S39.2924903,E175.7140991,0
W04007,S39.2911385,E175.7083432,0
W04008,S39.2856830,E175.7013427,0
W04009,S39.2815740,E175.6981080,0
W04010,S39.2793585,E175.6948358,0
W04011,S39.2784520,E175.6902386,0
W04012,S39.2775937,E175.6851318,0
W04013,S39.2764779,E175.6819561,0
W04014,S39.2753621,E175.6752346,0
W04015,S39.2735329,E175.6674724,0
W04016,S39.2729482,E175.6611532,0
W04017,S39.2708507,E175.6568189,0
W04018,S39.2696062,E175.6538792,0
W04019,S39.2717412,E175.6489601,0
