name,latitude,longitude,elevation
W04901,S38.0822461,E177.3551410,0
W04902,S38.0854861,E177.3497874,0
W04903,S38.0893699,E177.3464025,0
W04904,S38.0940636,E177.3432858,0
W04905,S38.0954101,E177.3370631,0
W04906,S38.1003184,E177.3351910,0
W04907,S38.1047493,E177.3366072,0
W04908,S38.1084560,E177.3335173,0
W04909,S38.1112132,E177.3282066,0
W04910,S38.1163200,E177.3311784,0
W04911,S38.1206919,E177.3286679,0
W04912,S38.1209011,E177.3232231,0
W04913,S38.1243718,E177.3216460,0
W04914,S38.1281107,E177.3267153,0
W04915,S38.1309485,E177.3309263,0
W04916,S38.1361625,E177.3317524,0
W04917,S38.1411460,E177.3322029,0
W04918,S38.1460758,E177.3330666,0
W04919,S38.1512416,E177.3338498,0
W04920,S38.1562411,E177.3338015,0
