name,latitude,longitude,elevation
W01501,S37.8883341,E175.0279676,0
W01502,S37.8886399,E175.0258004,0
W01503,S37.8897878,E175.0242340,0
W01504,S37.8915312,E175.0233596,0
W01505,S37.8929313,E175.0230485,0
W01506,S37.8943904,E175.0214928,0
W01507,S37.8953935,E175.0197709,0
W01508,S37.8967078,E175.0187195,0
W01509,S37.8964556,E175.0173408,0
W01510,S37.8962303,E175.0150396,0
W01511,S37.8965629,E175.0127061,0
W01512,S37.8957207,E175.0114079,0
W01513,S37.8957851,E175.0097450,0
W01514,S37.8960587,E175.0076475,0
W01515,S37.8966487,E175.0054428,0
W01516,S37.8966756,E175.0054964,0
W01517,S37.8954310,E175.0044396,0
W01518,S37.8998405,E175.0017092,0
