name,latitude,longitude,elevation
W05101,S38.2587204,E177.2981606,0
W05102,S38.2580016,E177.2970180,0
W05103,S38.2563494,E177.2970609,0
W05104,S38.2562313,E177.2950868,0
W05105,S38.2576207,E177.2926836,0
W05106,S38.2586989,E177.2910368,0
W05107,S38.2599488,E177.2902858,0
W05108,S38.2597181,E177.2887033,0
W05109,S38.2597235,E177.2858280,0
W05110,S38.2588866,E177.2849268,0
W05111,S38.2579533,E177.2828991,0
W05112,S38.2559846,E177.2817940,0
W05113,S38.2547990,E177.2819281,0
W05114,S38.2541982,E177.2803779,0
W05115,S38.2545094,E177.2782697,0
W05116,S38.2555554,E177.2765424,0
W05117,S38.2541875,E177.2750725,0
W05118,S38.2536564,E177.2731950,0
