name,latitude,longitude,elevation
W10101,S41.2944957,E175.4616647,0
W10102,S41.3023221,E175.4530228,0
W10103,S41.3135603,E175.4475350,0
W10104,S41.3204694,E175.4386946,0
W10105,S41.3285051,E175.4285614,0
W10106,S41.3353499,E175.4179185,0
W10107,S41.3421839,E175.4101564,0
W10108,S41.3495383,E175.4022654,0
W10109,S41.3583196,E175.3980973,0
W10110,S41.3636839,E175.3938809,0
W10111,S41.3662802,E175.3898791,0
W10112,S41.3717142,E175.3816127,0
W10113,S41.3801843,E175.3739042,0
W10114,S41.3889281,E175.3724021,0
W10115,S41.3946786,E175.3664048,0
W10116,S41.4046185,E175.3663565,0
W10117,S41.4133998,E175.3619899,0
W10118,S41.4219397,E175.3623600,0
W10119,S41.4254587,E175.3548392,0
W10120,S41.4323679,E175.3501830,0
