name,latitude,longitude,elevation
W09501,S40.9513268,E175.1091975,0
W09502,S40.9487681,E175.1104849,0
W09503,S40.9506778,E175.1152162,0
W09504,S40.9469550,E175.1142989,0
W09505,S40.9452116,E175.1169704,0
W09506,S40.9444016,E175.1224098,0
W09507,S40.9477918,E175.1269319,0
W09508,S40.9468799,E175.1300861,0
W09509,S40.9503935,E175.1325805,0
W09510,S40.9554466,E175.1310946,0
W09511,S40.9580537,E175.1336748,0
W09512,S40.9637183,E175.1349247,0
W09513,S40.9665668,E175.1360727,0
W09514,S40.9657943,E175.1400369,0
W09515,S40.9625328,E175.1442050,0
W09516,S40.9650970,E175.1458411,0
W09517,S40.9689217,E175.1473217,0
W09518,S40.9686320,E175.1532385,0
W09519,S40.9675324,E175.1566878,0
W09520,S40.9655315,E175.1613762,0
