name,latitude,longitude,elevation
W08701,S39.8652926,E176.4445441,0
W08702,S39.8693932,E176.4490785,0
W08703,S39.8729766,E176.4552250,0
W08704,S39.8763919,E176.4609542,0
W08705,S39.8798093,E176.4669064,0
W08706,S39.8778147,E176.4663690,0
W08707,S39.8757173,E176.4627373,0
W08708,S39.8745479,E176.4611978,0
W08709,S39.8727348,E176.4578558,0
W08710,S39.8721930,E176.4562733,0
W08711,S39.8703584,E176.4530011,0
W08712,S39.8682824,E176.4510968,0
W08713,S39.8671720,E176.4488867,0
W08714,S39.8647688,E176.4472076,0
W08715,S39.8629717,E176.4453301,0
