name,latitude,longitude,elevation
W06101,S39.4029338,E174.5677264,0
W06102,S39.4019253,E174.5681985,0
W06103,S39.4003214,E174.5676352,0
W06104,S39.3980737,E174.5684989,0
W06105,S39.3965395,E174.5683702,0
W06106,S39.3947962,E174.5668252,0
W06107,S39.3930957,E174.5668306,0
W06108,S39.3907086,E174.5654305,0
W06109,S39.3898878,E174.5668092,0
W06110,S39.3884073,E174.5669701,0
W06111,S39.3874042,E174.5686277,0
W06112,S39.3848562,E174.5691963,0
W06113,S39.3832308,E174.5694162,0
W06114,S39.3814391,E174.5702048,0
W06115,S39.3801946,E174.5695021,0
W06116,S39.3787301,E174.5691212,0
W06117,S39.3775017,E174.5723505,0
W06118,S39.3763591,E174.5736916,0
W06119,S39.3755330,E174.5752634,0
W06120,S39.3756350,E174.5775378,0
