name,latitude,longitude,elevation
W10001,S41.3959495,E175.1433509,0
W10002,S41.3974944,E175.1441931,0
W10003,S41.3996884,E175.1459365,0
W10004,S41.4019039,E175.1504962,0
W10005,S41.4025959,E175.1515422,0
W10006,S41.4028855,E175.1520733,0
W10007,S41.4046665,E175.1564506,0
W10008,S41.4053907,E175.1587036,0
W10009,S41.4065762,E175.1611658,0
W10010,S41.4072306,E175.1627214,0
W10011,S41.4076651,E175.1637460,0
W10012,S41.4083732,E175.1653500,0
W10013,S41.4094568,E175.1686383,0
W10014,S41.4103097,E175.1709128,0
W10015,S41.4092422,E175.1722592,0
W10016,S41.4071555,E175.1740509,0
W10017,S41.4023384,E175.1780473,0
W10018,S41.4023331,E175.1779883,0
