name,latitude,longitude,elevation
W05501,S38.1714384,E177.5106579,0
W05502,S38.1719373,E177.5126749,0
W05503,S38.1747428,E177.5132167,0
W05504,S38.1766632,E177.5153302,0
W05505,S38.1782833,E177.5185220,0
W05506,S38.1803432,E177.5188707,0
W05507,S38.1826444,E177.5204049,0
W05508,S38.1838299,E177.5229583,0
W05509,S38.1855573,E177.5253508,0
W05510,S38.1864263,E177.5272551,0
W05511,S38.1853320,E177.5306454,0
W05512,S38.1859864,E177.5336709,0
W05513,S38.1860776,E177.5370879,0
W05514,S38.1866301,E177.5398613,0
W05515,S38.1854822,E177.5435090,0
W05516,S38.1848760,E177.5452632,0
W05517,S38.1828537,E177.5486266,0
W05518,S38.1816843,E177.5520061,0
W05519,S38.1812927,E177.5554071,0
W05520,S38.1801501,E177.5586955,0
