name,latitude,longitude,elevation
W01101,S36.6954270,E174.3853720,0
W01102,S36.6992893,E174.3843366,0
W01103,S36.7030872,E174.3836661,0
W01104,S36.7058767,E174.3854792,0
W01105,S36.7086178,E174.3887139,0
W01106,S36.7080117,E174.3932629,0
W01107,S36.7109352,E174.3964654,0
W01108,S36.7147332,E174.3993943,0
W01109,S36.7178874,E174.4018887,0
W01110,S36.7212347,E174.4054130,0
W01111,S36.7234501,E174.4044796,0
W01112,S36.7284550,E174.4065932,0
W01113,S36.7326392,E174.4085404,0
W01114,S36.7316039,E174.4124403,0
W01115,S36.7344845,E174.4138135,0
W01116,S36.7375529,E174.4151761,0
W01117,S36.7407608,E174.4193710,0
W01118,S36.7425363,E174.4219941,0
W01119,S36.7465488,E174.4206101,0
W01120,S36.7494563,E174.4218010,0
